Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,906.81
Elapsed Live Time:,899.31
Start Time:,February 29, 2024, 05:37:00
End Time:,February 29, 2024, 05:34:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,5
1,,8
2,,14
3,,10
4,,80
5,,131
6,,82
7,,343
8,,792
9,,8154
10,,3889
11,,196
12,,203
13,,263
14,,328
15,,441
16,,352
17,,241
18,,194
19,,238
20,,271
21,,262
22,,285
23,,371
24,,433
25,,470
26,,499
27,,538
28,,672
29,,664
30,,751
31,,808
32,,810
33,,788
34,,828
35,,729
36,,771
37,,731
38,,963
39,,827
40,,712
41,,724
42,,724
43,,718
44,,679
45,,656
46,,639
47,,665
48,,584
49,,651
50,,699
51,,636
52,,609
53,,597
54,,583
55,,600
56,,586
57,,550
58,,607
59,,573
60,,566
61,,534
62,,502
63,,486
64,,503
65,,466
66,,531
67,,493
68,,480
69,,447
70,,446
71,,442
72,,394
73,,438
74,,429
75,,390
76,,371
77,,366
78,,389
79,,345
80,,369
81,,350
82,,383
83,,373
84,,351
85,,338
86,,337
87,,308
88,,305
89,,358
90,,334
91,,297
92,,313
93,,260
94,,321
95,,313
96,,283
97,,272
98,,297
99,,287
100,,294
101,,271
102,,291
103,,245
104,,287
105,,253
106,,232
107,,204
108,,262
109,,227
110,,239
111,,250
112,,244
113,,235
114,,208
115,,218
116,,210
117,,207
118,,207
119,,191
120,,189
121,,169
122,,159
123,,183
124,,183
125,,181
126,,140
127,,153
128,,164
129,,169
130,,143
131,,165
132,,157
133,,171
134,,134
135,,153
136,,157
137,,138
138,,154
139,,154
140,,149
141,,152
142,,119
143,,131
144,,128
145,,129
146,,127
147,,110
148,,132
149,,133
150,,119
151,,122
152,,106
153,,103
154,,109
155,,133
156,,106
157,,115
158,,91
159,,116
160,,105
161,,111
162,,109
163,,103
164,,109
165,,114
166,,91
167,,119
168,,101
169,,101
170,,109
171,,82
172,,91
173,,89
174,,90
175,,111
176,,83
177,,85
178,,88
179,,85
180,,85
181,,72
182,,80
183,,92
184,,83
185,,84
186,,71
187,,71
188,,68
189,,67
190,,87
191,,65
192,,77
193,,75
194,,77
195,,77
196,,63
197,,53
198,,75
