Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,664.55
Elapsed Live Time:,629.63
Start Time:,February 19, 2024, 04:40:42
End Time:,February 19, 2024, 04:40:05
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2
1,,5
2,,48
3,,306
4,,536
5,,408
6,,541
7,,1758
8,,5029
9,,40336
10,,15826
11,,5756
12,,15170
13,,35067
14,,50990
15,,38264
16,,16211
17,,6273
18,,3391
19,,2167
20,,1586
21,,1286
22,,1163
23,,908
24,,736
25,,604
26,,587
27,,574
28,,501
29,,528
30,,687
31,,493
32,,577
33,,671
34,,569
35,,776
36,,788
37,,1095
38,,1127
39,,698
40,,681
41,,751
42,,812
43,,843
44,,879
45,,878
46,,915
47,,955
48,,960
49,,991
50,,1044
51,,985
52,,1122
53,,1150
54,,1185
55,,1237
56,,1286
57,,1345
58,,1333
59,,1388
60,,1439
61,,1552
62,,1552
63,,1596
64,,1693
65,,1646
66,,1807
67,,1900
68,,1978
69,,2216
70,,2239
71,,2189
72,,2333
73,,2278
74,,1999
75,,1863
76,,1706
77,,1497
78,,1354
79,,1290
80,,1197
81,,1094
82,,1095
83,,1017
84,,1111
85,,1123
86,,965
87,,993
88,,1106
89,,1065
90,,1064
91,,1047
92,,1028
93,,1031
94,,980
95,,1023
96,,1026
97,,958
98,,966
99,,977
100,,958
101,,1003
102,,922
103,,943
104,,952
105,,898
106,,935
107,,900
108,,911
109,,920
110,,881
111,,836
112,,825
113,,845
114,,851
115,,844
116,,884
117,,822
118,,876
119,,826
120,,828
121,,811
122,,796
123,,847
124,,818
125,,785
126,,802
127,,761
128,,762
129,,796
130,,751
131,,719
132,,791
133,,744
134,,752
135,,724
136,,686
137,,723
138,,746
139,,715
140,,692
141,,659
142,,720
143,,708
144,,677
145,,661
146,,665
147,,618
148,,682
149,,658
150,,608
151,,668
152,,623
153,,595
154,,642
155,,601
156,,600
157,,642
158,,608
159,,614
160,,588
161,,533
162,,621
163,,588
164,,560
165,,555
166,,555
167,,524
168,,525
169,,521
170,,511
171,,511
172,,518
173,,545
174,,459
175,,510
176,,514
177,,503
178,,484
179,,510
180,,490
181,,501
