Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1967.42
Elapsed Live Time:,1922.78
Start Time:,February 29, 2024, 05:01:16
End Time:,February 29, 2024, 05:34:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2
1,,8
2,,49
3,,75
4,,505
5,,291
6,,335
7,,979
8,,2946
9,,23349
10,,11942
11,,1030
12,,1294
13,,1638
14,,1837
15,,1883
16,,1446
17,,1007
18,,839
19,,847
20,,991
21,,1060
22,,1294
23,,1394
24,,1728
25,,1801
26,,2005
27,,2270
28,,2610
29,,2948
30,,3139
31,,3456
32,,3660
33,,3934
34,,4458
35,,5027
36,,6037
37,,7027
38,,8349
39,,8682
40,,8673
41,,8377
42,,7931
43,,7015
44,,6569
45,,6178
46,,6035
47,,6156
48,,6793
49,,8802
50,,12030
51,,17939
52,,26530
53,,37790
54,,48940
55,,57438
56,,60993
57,,58269
58,,49807
59,,38784
60,,28776
61,,20359
62,,15072
63,,11475
64,,8727
65,,6745
66,,5180
67,,3877
68,,2805
69,,2005
70,,1587
71,,1261
72,,1028
73,,941
74,,868
75,,896
76,,879
77,,851
78,,819
79,,821
80,,830
81,,801
82,,765
83,,782
84,,776
85,,750
86,,732
87,,693
88,,678
89,,717
90,,682
91,,708
92,,655
93,,638
94,,643
95,,666
96,,665
97,,626
98,,671
99,,631
100,,624
101,,600
102,,580
103,,551
104,,607
105,,550
106,,567
107,,549
108,,525
109,,529
110,,531
111,,535
112,,499
113,,476
114,,490
115,,458
116,,448
117,,450
118,,423
119,,451
120,,415
121,,419
122,,379
123,,393
124,,374
125,,377
126,,367
127,,378
128,,372
129,,355
130,,320
131,,319
132,,320
133,,340
134,,330
135,,319
136,,309
137,,304
138,,284
139,,332
140,,307
141,,306
142,,304
143,,310
144,,260
145,,280
146,,265
147,,270
148,,283
149,,261
150,,254
151,,250
152,,273
153,,265
154,,264
155,,228
156,,253
157,,216
158,,234
159,,238
160,,234
161,,250
162,,251
163,,236
164,,196
165,,209
166,,236
167,,190
168,,185
169,,207
170,,201
171,,186
172,,214
173,,213
174,,191
175,,183
176,,190
177,,181
178,,184
179,,174
180,,189
181,,171
182,,194
183,,176
184,,164
185,,142
186,,140
187,,184
188,,172
189,,158
190,,141
191,,167
192,,149
193,,169
194,,135
195,,172
196,,146
197,,136
198,,136
199,,137
200,,157
201,,148
202,,153
203,,134
204,,135
205,,144
206,,147
207,,154
208,,149
209,,138
210,,128
211,,133
212,,129
213,,141
214,,144
215,,136
216,,160
217,,113
218,,129
219,,139
220,,133
221,,112
222,,135
223,,128
224,,133
225,,129
226,,124
227,,145
228,,135
229,,125
230,,136
231,,136
232,,152
233,,113
234,,105
235,,128
236,,149
237,,126
238,,119
239,,105
240,,124
241,,117
242,,140
243,,109
244,,121
245,,94
246,,100
247,,120
248,,101
249,,105
250,,92
251,,106
252,,103
253,,101
254,,95
255,,99
256,,100
257,,108
258,,100
259,,95
260,,122
261,,106
262,,117
263,,105
264,,101
265,,95
266,,89
267,,125
268,,104
269,,102
270,,108
271,,111
272,,102
273,,108
274,,120
275,,108
276,,96
277,,107
278,,116
279,,105
280,,85
281,,104
282,,100
283,,107
284,,86
285,,95
286,,103
287,,104
288,,97
289,,84
290,,112
291,,80
292,,96
293,,84
294,,101
295,,84
296,,86
297,,86
298,,90
299,,63
300,,101
301,,74
302,,71
303,,74
304,,75
305,,72
306,,81
307,,77
308,,75
309,,56
310,,58
311,,88
312,,72
313,,61
314,,63
315,,71
316,,83
317,,75
318,,76
319,,70
320,,72
321,,71
322,,64
323,,68
324,,78
325,,48
326,,71
327,,74
328,,47
329,,71
330,,66
331,,64
332,,87
333,,65
334,,71
335,,71
336,,49
337,,82
338,,70
339,,79
340,,56
341,,64
342,,74
343,,57
344,,57
345,,66
346,,62
347,,58
348,,57
349,,44
350,,70
351,,53
352,,60
353,,53
354,,45
355,,47
356,,61
357,,44
358,,54
359,,66
360,,61
361,,51
362,,59
363,,50
364,,56
365,,53
366,,60
367,,56
368,,52
369,,44
370,,43
371,,54
372,,54
373,,51
374,,43
375,,57
376,,56
377,,45
378,,53
379,,50
380,,56
381,,41
382,,43
383,,38
384,,52
385,,44
386,,54
387,,49
388,,58
389,,45
390,,43
391,,40
392,,48
393,,43
394,,50
395,,45
396,,60
397,,46
398,,46
399,,45
400,,45
401,,55
402,,48
403,,39
404,,45
405,,42
406,,53
407,,50
408,,48
409,,51
410,,48
411,,48
412,,50
413,,54
414,,61
415,,47
416,,66
417,,49
418,,56
419,,49
420,,52
421,,51
422,,49
423,,56
424,,51
425,,64
426,,49
427,,45
428,,49
429,,54
430,,45
431,,42
432,,50
433,,34
434,,47
435,,53
436,,50
437,,54
438,,51
439,,40
440,,48
441,,42
442,,42
443,,54
444,,47
445,,33
446,,44
447,,49
448,,50
449,,57
450,,42
451,,37
452,,44
453,,38
454,,47
455,,50
456,,34
457,,39
458,,36
459,,33
460,,51
461,,38
462,,42
463,,32
464,,27
465,,33
466,,33
467,,46
468,,34
469,,38
470,,52
471,,33
472,,43
473,,32
474,,46
475,,37
476,,33
477,,31
478,,36
479,,42
480,,20
481,,37
482,,39
483,,28
484,,39
485,,32
486,,25
487,,38
488,,26
489,,44
490,,33
491,,36
492,,46
493,,24
494,,43
495,,42
496,,25
497,,28
498,,33
499,,36
500,,27
501,,30
502,,30
503,,26
504,,33
505,,32
506,,25
507,,43
508,,33
509,,38
510,,40
511,,26
512,,38
513,,23
514,,31
515,,35
516,,33
517,,35
518,,35
519,,43
520,,41
521,,33
522,,37
523,,33
524,,37
525,,38
526,,23
527,,36
528,,44
529,,35
530,,40
531,,33
532,,31
533,,37
534,,26
535,,27
536,,35
537,,33
538,,19
539,,34
540,,32
541,,44
542,,39
543,,25
544,,28
545,,25
546,,18
547,,35
548,,31
549,,31
550,,28
551,,26
552,,37
553,,34
554,,27
555,,31
556,,33
557,,24
558,,34
559,,31
560,,29
561,,28
562,,26
563,,27
564,,32
565,,20
566,,30
567,,25
568,,23
569,,25
570,,31
571,,24
572,,24
573,,30
574,,23
575,,21
576,,24
577,,25
578,,21
579,,32
580,,14
581,,13
582,,30
583,,18
584,,27
585,,23
586,,13
587,,20
588,,23
589,,12
590,,17
591,,19
592,,19
593,,22
594,,20
595,,19
596,,27
597,,21
598,,17
599,,21
600,,17
601,,23
602,,20
603,,11
604,,23
605,,18
606,,12
607,,12
608,,26
609,,17
610,,25
611,,12
612,,30
613,,17
614,,22
615,,16
616,,19
617,,29
618,,17
619,,16
620,,17
621,,13
622,,22
623,,16
624,,18
625,,12
626,,19
627,,19
628,,9
629,,17
630,,15
631,,18
632,,14
633,,18
634,,16
635,,21
636,,15
637,,22
638,,24
639,,14
640,,22
641,,17
642,,18
643,,21
644,,18
645,,15
646,,24
647,,32
648,,16
649,,21
650,,28
651,,30
652,,24
653,,26
654,,38
655,,23
656,,31
657,,34
658,,31
659,,31
660,,30
661,,42
662,,41
663,,47
664,,44
665,,39
666,,32
667,,51
668,,37
669,,39
670,,39
671,,29
672,,38
673,,45
674,,45
675,,45
676,,57
677,,50
678,,37
679,,44
680,,36
681,,44
682,,28
683,,34
684,,44
685,,34
686,,28
687,,27
688,,23
689,,20
690,,18
691,,25
692,,33
693,,21
694,,26
695,,17
696,,21
697,,16
698,,17
699,,15
700,,13
701,,12
702,,13
703,,14
