Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1939.23
Elapsed Live Time:,1128.26
Start Time:,February 29, 2024, 02:11:07
End Time:,February 29, 2024, 02:10:18
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,108
1,,905
2,,881
3,,2140
4,,6985
5,,5960
6,,5949
7,,18552
8,,92819
9,,658417
10,,725913
11,,21606
12,,9556
13,,11439
14,,13106
15,,14900
16,,14115
17,,10137
18,,7382
19,,6365
20,,6676
21,,7816
22,,8414
23,,7850
24,,7985
25,,8827
26,,10448
27,,10255
28,,9870
29,,10615
30,,12243
31,,11022
32,,11813
33,,13815
34,,12516
35,,13954
36,,12534
37,,19406
38,,14106
39,,17913
40,,10445
41,,10423
42,,9993
43,,9909
44,,9510
45,,9678
46,,9479
47,,9287
48,,9357
49,,9308
50,,9427
51,,9396
52,,9466
53,,9591
54,,9666
55,,9564
56,,9641
57,,9695
58,,9746
59,,10019
60,,9666
61,,9790
62,,9789
63,,9749
64,,9780
65,,9860
66,,9953
67,,9811
68,,9915
69,,9758
70,,9873
71,,9596
72,,9940
73,,9858
74,,9841
75,,9876
76,,10036
77,,10247
78,,10253
79,,10444
80,,10764
81,,11212
82,,11452
83,,11703
84,,12143
85,,12487
86,,13107
87,,13213
88,,13304
89,,13672
90,,13797
91,,13872
92,,14209
93,,14177
94,,13815
95,,13990
96,,13783
97,,13893
98,,13488
99,,13689
100,,13214
101,,13363
102,,13104
103,,12846
104,,12838
105,,12575
106,,12448
107,,12473
108,,12337
109,,12339
110,,12056
111,,12079
112,,11740
113,,11990
114,,11786
115,,11352
116,,11557
117,,11482
118,,11200
119,,11162
120,,11196
121,,11065
122,,10831
123,,10765
124,,10640
125,,10472
126,,10423
127,,10324
128,,10300
129,,10233
130,,10067
131,,10128
132,,9796
133,,9962
134,,9857
135,,9742
136,,9743
137,,9682
138,,9647
139,,9553
140,,9503
141,,9441
142,,9393
143,,9541
144,,9414
145,,9240
146,,9509
147,,9345
148,,9418
149,,9499
150,,9344
151,,9334
152,,9504
153,,9272
154,,9323
155,,9298
156,,9226
157,,9192
158,,9156
159,,8906
160,,8964
161,,8798
162,,8447
163,,8137
164,,7899
165,,7623
166,,7297
167,,6924
168,,6828
169,,6488
170,,6150
171,,5822
172,,5751
173,,5355
174,,5140
175,,4904
176,,4872
177,,4714
178,,4441
179,,4334
180,,4247
181,,4230
182,,4000
183,,3975
184,,4071
185,,3822
186,,3723
187,,3658
188,,3618
189,,3589
190,,3504
191,,3400
192,,3336
193,,3218
194,,3255
195,,3266
196,,3120
197,,3134
198,,3096
199,,3001
200,,2983
201,,3076
202,,2840
203,,2882
204,,2914
205,,2845
206,,2829
207,,2834
208,,2848
209,,2716
210,,2820
211,,2702
212,,2731
213,,2763
214,,2699
215,,2782
216,,2618
217,,2686
218,,2638
219,,2748
220,,2613
221,,2631
222,,2607
223,,2642
224,,2692
225,,2657
226,,2777
227,,2758
228,,2767
229,,2958
230,,3073
231,,3374
232,,3653
233,,4140
234,,4466
235,,5586
236,,6156
237,,7491
238,,8790
239,,10567
240,,12288
241,,14466
242,,16829
243,,19533
244,,22889
245,,26056
246,,29514
247,,33179
248,,37081
249,,40462
250,,43646
251,,47005
252,,49716
253,,52513
254,,54521
255,,55477
256,,56262
257,,56174
258,,54990
259,,53525
260,,51445
261,,48852
262,,45976
263,,42634
264,,38828
265,,35005
266,,31292
267,,27691
