Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,103
Calibration Coefficients:Elapsed Real Time:,1184.44
Elapsed Live Time:,1139.87
Start Time:,February 19, 2024, 04:00:28
End Time:,February 19, 2024, 03:54:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,1
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,1
93,,0
94,,0
95,,0
96,,0
97,,0
98,,716
99,,2922
100,,2967
101,,2812
102,,2826
103,,2867
104,,2930
105,,2930
106,,2976
107,,2904
108,,2760
109,,2776
110,,2803
111,,2859
112,,2784
113,,2779
114,,2794
115,,2623
116,,2634
117,,2684
118,,2702
119,,2640
120,,2664
121,,2535
122,,2611
123,,2642
124,,2535
125,,2602
126,,2534
127,,2685
128,,2513
129,,2447
130,,2574
131,,2586
132,,2518
133,,2524
134,,2501
135,,2469
136,,2543
137,,2489
138,,2498
139,,2604
140,,2540
141,,2575
142,,2542
143,,2622
144,,2644
145,,2548
146,,2587
147,,2731
148,,2659
149,,2609
150,,2673
151,,2671
152,,2603
153,,2562
154,,2696
155,,2693
156,,2599
157,,2613
158,,2621
159,,2556
160,,2642
161,,2634
162,,2706
163,,2597
164,,2568
165,,2641
166,,2434
167,,2686
168,,2517
169,,2624
170,,2582
171,,2558
172,,2624
173,,2635
174,,2514
175,,2585
176,,2496
177,,2499
178,,2555
179,,2535
180,,2555
181,,2463
182,,2537
183,,2360
184,,2449
185,,2488
186,,2396
187,,2443
188,,2425
189,,2368
190,,2406
191,,2385
192,,2458
193,,2361
194,,2402
195,,2282
196,,2356
197,,2367
198,,2350
199,,2383
200,,2262
201,,2240
202,,2335
203,,2323
204,,2172
205,,2316
206,,2207
207,,2257
208,,2195
209,,2155
210,,2216
211,,2185
212,,2214
213,,2256
214,,2079
215,,2123
216,,2176
217,,2082
218,,2133
219,,2156
220,,2035
221,,1973
222,,2132
223,,2026
224,,2063
225,,2013
226,,1950
227,,2048
228,,1951
229,,1976
230,,2028
231,,1959
232,,1897
233,,1870
234,,1917
235,,1913
236,,1943
237,,1838
238,,1903
239,,1906
240,,1899
241,,1937
242,,1832
243,,1916
244,,1760
245,,1810
246,,1838
247,,1813
248,,1767
249,,1808
250,,1758
251,,1785
252,,1759
253,,1773
254,,1700
255,,1741
256,,1660
257,,1704
258,,1692
259,,1668
260,,1693
261,,1666
262,,1635
263,,1593
264,,1560
265,,1654
266,,1566
267,,1570
268,,1545
269,,1542
270,,1542
271,,1497
272,,1517
273,,1560
274,,1539
275,,1542
276,,1538
277,,1472
278,,1514
279,,1487
280,,1529
281,,1486
282,,1491
283,,1429
284,,1499
285,,1405
286,,1413
287,,1500
288,,1472
289,,1355
290,,1433
291,,1424
292,,1397
293,,1453
294,,1373
295,,1414
296,,1363
297,,1377
298,,1397
299,,1369
300,,1305
301,,1375
302,,1309
303,,1329
304,,1291
305,,1349
306,,1333
307,,1335
308,,1290
309,,1387
310,,1362
311,,1327
312,,1330
313,,1279
314,,1250
315,,1326
316,,1234
317,,1320
318,,1278
319,,1247
320,,1221
321,,1268
322,,1338
323,,1202
324,,1230
325,,1252
326,,1271
327,,1263
328,,1290
329,,1211
