Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,589.41
Elapsed Live Time:,552.9
Start Time:,February 19, 2024, 04:29:57
End Time:,February 19, 2024, 04:29:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,3
2,,63
3,,215
4,,206
5,,164
6,,215
7,,1330
8,,3971
9,,38408
10,,13108
11,,314
12,,368
13,,534
14,,664
15,,732
16,,765
17,,600
18,,652
19,,550
20,,575
21,,647
22,,784
23,,610
24,,530
25,,517
26,,499
27,,430
28,,450
29,,490
30,,597
31,,436
32,,578
33,,517
34,,549
35,,586
36,,940
37,,820
38,,884
39,,557
40,,610
41,,610
42,,617
43,,660
44,,673
45,,674
46,,783
47,,735
48,,757
49,,790
50,,832
51,,866
52,,849
53,,848
54,,933
55,,922
56,,941
57,,999
58,,1002
59,,1104
60,,1068
61,,1089
62,,1084
63,,1069
64,,1134
65,,1130
66,,1085
67,,1068
68,,1049
69,,1012
70,,1004
71,,1001
72,,960
73,,958
74,,992
75,,993
76,,907
77,,977
78,,1004
79,,909
80,,989
81,,963
82,,937
83,,920
84,,955
85,,900
86,,877
87,,902
88,,972
89,,938
90,,978
91,,931
92,,954
93,,936
94,,913
95,,885
96,,947
97,,920
98,,906
99,,848
100,,885
101,,883
102,,837
103,,881
104,,854
105,,858
106,,819
107,,800
108,,824
109,,783
110,,815
111,,833
112,,824
113,,800
114,,836
115,,774
116,,733
117,,762
118,,768
119,,774
120,,734
121,,734
122,,720
123,,746
124,,728
125,,758
126,,712
127,,708
128,,743
129,,703
130,,663
131,,676
132,,700
133,,646
134,,642
135,,594
136,,682
137,,644
138,,640
139,,610
140,,663
141,,586
142,,604
143,,632
144,,618
145,,657
146,,613
147,,592
148,,546
149,,630
150,,620
151,,616
152,,617
153,,598
154,,570
155,,594
156,,609
157,,606
158,,563
159,,584
160,,593
161,,605
162,,585
163,,564
164,,605
165,,588
166,,599
167,,566
168,,578
169,,566
170,,551
171,,535
172,,497
173,,520
174,,515
175,,506
176,,521
177,,508
178,,510
179,,534
180,,502
181,,539
182,,495
183,,514
184,,496
185,,496
186,,493
187,,535
188,,485
189,,501
190,,482
191,,473
192,,487
193,,456
194,,476
195,,437
196,,447
197,,458
198,,475
199,,448
200,,414
201,,431
202,,449
203,,427
204,,403
205,,369
206,,408
207,,409
208,,401
