Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1267.11
Elapsed Live Time:,850.26
Start Time:,February 29, 2024, 01:49:01
End Time:,February 29, 2024, 01:48:59
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,60
1,,602
2,,570
3,,1285
4,,4921
5,,3863
6,,4285
7,,12168
8,,51398
9,,613962
10,,557220
11,,35173
12,,55040
13,,66901
14,,49914
15,,29801
16,,16673
17,,9372
18,,6231
19,,4666
20,,4488
21,,4801
22,,5014
23,,4851
24,,4857
25,,5245
26,,6285
27,,6174
28,,6009
29,,6378
30,,7499
31,,6597
32,,6922
33,,8302
34,,7452
35,,8061
36,,7550
37,,11830
38,,8167
39,,10934
40,,6405
41,,6282
42,,6033
43,,6072
44,,5867
45,,5697
46,,5509
47,,5456
48,,5540
49,,5746
50,,5515
51,,5552
52,,5544
53,,5680
54,,5680
55,,5605
56,,5697
57,,5698
58,,5691
59,,5799
60,,5848
61,,5711
62,,5683
63,,5758
64,,5762
65,,5819
66,,5755
67,,5749
68,,5737
69,,5732
70,,5752
71,,5720
72,,5698
73,,5782
74,,5616
75,,5683
76,,5715
77,,5809
78,,5708
79,,5719
80,,5814
81,,5720
82,,5780
83,,5796
84,,5967
85,,6230
86,,6067
87,,6359
88,,6395
89,,6991
90,,7042
91,,7303
92,,7496
93,,7749
94,,7949
95,,7984
96,,8071
97,,8177
98,,8123
99,,8282
100,,8306
101,,8410
102,,8336
103,,8057
104,,8160
105,,8093
106,,8185
107,,8005
108,,7900
109,,7823
110,,7706
111,,7473
112,,7413
113,,7305
114,,7345
115,,7173
116,,6995
117,,6962
118,,6869
119,,6690
120,,6756
121,,6636
122,,6683
123,,6431
124,,6367
125,,6361
126,,6226
127,,6150
128,,6095
129,,6074
130,,6042
131,,6014
132,,5867
133,,5979
134,,5800
135,,5814
136,,5556
137,,5581
138,,5564
139,,5538
140,,5531
141,,5442
142,,5554
143,,5445
144,,5362
145,,5116
146,,5297
147,,5293
148,,5277
149,,5176
150,,5148
151,,5157
152,,5144
153,,5166
154,,5126
155,,5024
156,,5031
157,,5033
158,,4825
159,,5003
160,,4825
161,,4884
162,,4815
163,,4799
164,,4910
165,,4966
166,,4687
167,,4792
168,,4754
169,,4709
170,,4788
171,,4758
172,,4710
173,,4802
174,,4769
175,,4624
176,,4674
177,,4634
178,,4654
179,,4596
180,,4612
181,,4523
182,,4636
183,,4508
184,,4567
185,,4685
186,,4495
187,,4560
188,,4556
189,,4479
190,,4487
191,,4515
192,,4478
193,,4503
194,,4419
195,,4581
196,,4570
197,,4403
198,,4525
199,,4469
200,,4561
201,,4479
202,,4573
203,,4616
204,,4493
205,,4570
206,,4551
207,,4599
208,,4508
209,,4570
210,,4541
211,,4565
212,,4673
213,,4630
214,,4681
215,,4615
216,,4622
217,,4709
218,,4745
219,,4789
220,,4704
221,,4674
222,,4626
223,,4602
224,,4534
225,,4504
226,,4420
227,,4487
228,,4252
229,,4186
230,,4030
231,,3840
232,,3743
233,,3632
234,,3327
235,,3334
236,,3073
237,,2925
238,,2846
239,,2643
240,,2556
241,,2403
242,,2272
243,,2102
244,,1928
245,,1838
246,,1796
247,,1650
248,,1592
249,,1484
250,,1495
251,,1439
252,,1361
253,,1351
254,,1349
255,,1205
256,,1179
257,,1177
258,,1090
259,,1062
260,,1004
261,,1037
262,,979
263,,975
264,,960
265,,965
266,,818
267,,906
268,,777
269,,840
270,,797
271,,770
272,,797
273,,798
274,,716
275,,740
276,,742
277,,644
278,,637
279,,684
280,,634
281,,590
282,,649
283,,612
284,,608
285,,657
286,,595
287,,572
288,,576
289,,626
290,,572
291,,538
292,,509
293,,598
294,,592
295,,587
296,,612
297,,644
298,,631
299,,694
300,,776
301,,824
302,,989
303,,1052
304,,1269
305,,1435
306,,1820
307,,2140
308,,2549
309,,2975
310,,3525
311,,4240
312,,5086
313,,5946
314,,6981
315,,8156
316,,9526
317,,10960
318,,12567
319,,14215
320,,15520
321,,17314
322,,18943
323,,20956
324,,22428
325,,24049
326,,25505
327,,26960
328,,28032
329,,28527
330,,29095
331,,29882
332,,29597
333,,29634
334,,29054
335,,28329
336,,27528
337,,25897
338,,24539
339,,23388
340,,21447
341,,19972
342,,18407
343,,16664
344,,14787
345,,12980
346,,11362
347,,9950
348,,8657
349,,7362
350,,6408
351,,5265
352,,4425
353,,3682
354,,3118
355,,2617
356,,2019
357,,1772
358,,1331
359,,1122
360,,941
361,,765
362,,607
363,,491
364,,455
365,,357
366,,323
367,,259
368,,212
369,,225
370,,197
371,,178
372,,155
373,,152
374,,124
375,,155
376,,145
377,,134
378,,116
379,,140
380,,139
381,,134
382,,123
383,,115
384,,116
385,,110
386,,114
387,,109
388,,113
389,,120
390,,110
391,,106
392,,124
393,,114
394,,93
395,,104
396,,86
397,,94
398,,103
399,,105
400,,84
401,,101
402,,88
403,,75
404,,94
405,,104
406,,81
407,,86
408,,72
409,,101
410,,101
411,,90
412,,81
413,,87
414,,95
415,,94
416,,96
417,,94
418,,86
419,,85
420,,90
421,,81
422,,90
423,,90
424,,91
425,,91
426,,99
427,,82
428,,80
429,,85
430,,77
431,,83
432,,87
433,,83
434,,81
435,,80
436,,104
437,,78
438,,83
439,,77
440,,81
441,,84
442,,78
443,,75
444,,72
445,,86
446,,84
447,,96
448,,83
449,,73
450,,75
451,,75
452,,75
453,,64
454,,73
455,,90
456,,74
457,,79
458,,60
459,,60
460,,80
461,,76
462,,71
463,,66
464,,71
465,,74
466,,82
467,,70
468,,67
469,,73
470,,63
471,,65
472,,74
473,,59
474,,66
475,,61
476,,57
477,,47
478,,60
479,,65
480,,70
481,,45
482,,51
483,,40
484,,42
485,,53
486,,67
487,,59
488,,47
489,,66
490,,43
491,,56
492,,63
493,,50
494,,55
495,,64
496,,55
497,,50
498,,52
499,,34
500,,33
501,,39
502,,51
503,,48
504,,53
505,,47
506,,40
507,,48
508,,39
509,,40
510,,43
511,,48
512,,51
513,,42
514,,54
515,,51
516,,48
517,,41
518,,52
519,,39
520,,63
521,,36
522,,35
523,,29
524,,44
525,,46
526,,35
527,,38
528,,31
529,,50
530,,46
531,,28
532,,48
533,,40
534,,55
535,,40
536,,39
