Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,2346.8
Elapsed Live Time:,1924.49
Start Time:,February 29, 2024, 05:37:00
End Time:,February 29, 2024, 05:34:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,15
1,,134
2,,797
3,,2266
4,,7775
5,,4519
6,,5941
7,,16905
8,,51108
9,,739678
10,,532433
11,,59692
12,,67600
13,,53409
14,,33742
15,,20152
16,,12522
17,,7870
18,,6211
19,,5671
20,,5046
21,,5287
22,,5754
23,,7181
24,,6643
25,,6828
26,,7395
27,,8792
28,,8821
29,,9000
30,,9666
31,,11272
32,,9811
33,,9837
34,,10363
35,,8830
36,,9466
37,,8727
38,,15770
39,,13261
40,,7946
41,,7668
42,,7512
43,,7377
44,,7556
45,,7447
46,,7421
47,,7360
48,,7535
49,,7390
50,,7441
51,,7515
52,,7484
53,,7576
54,,7444
55,,7386
56,,7374
57,,7489
58,,7513
59,,7311
60,,7551
61,,7527
62,,7411
63,,7345
64,,7341
65,,7619
66,,7319
67,,7145
68,,7259
69,,7314
70,,7204
71,,7282
72,,7253
73,,7333
74,,7404
75,,7325
76,,7379
77,,7381
78,,7487
79,,7429
80,,7726
81,,8171
82,,8290
83,,8672
84,,8841
85,,9153
86,,9378
87,,9712
88,,9951
89,,10138
90,,10036
91,,10236
92,,10286
93,,10274
94,,10242
95,,10080
96,,10085
97,,10109
98,,9872
99,,9654
100,,9737
101,,9672
102,,9398
103,,9448
104,,9225
105,,9030
106,,8943
107,,8909
108,,8714
109,,8640
110,,8301
111,,8460
112,,8176
113,,7951
114,,7961
115,,7932
116,,7803
117,,7680
118,,7489
119,,7538
120,,7216
121,,7204
122,,7178
123,,7158
124,,6993
125,,6838
126,,6789
127,,6719
128,,6795
129,,6806
130,,6711
131,,6584
132,,6782
133,,6567
134,,6365
135,,6552
136,,6394
137,,6454
138,,6344
139,,6328
140,,6214
141,,6129
142,,6083
143,,6001
144,,6216
145,,5856
146,,5969
147,,5971
148,,5994
149,,5908
150,,5913
151,,5925
152,,5849
153,,5811
154,,5869
155,,5782
156,,5774
157,,5730
158,,5596
159,,5649
160,,5638
161,,5679
162,,5581
163,,5582
164,,5418
165,,5514
166,,5481
167,,5471
168,,5578
169,,5438
170,,5437
171,,5514
172,,5333
173,,5480
174,,5230
175,,5434
176,,5404
177,,5322
178,,5403
179,,5356
180,,5433
181,,5250
182,,5266
183,,5287
184,,5298
185,,5311
186,,5318
187,,5411
188,,5309
189,,5294
190,,5424
191,,5271
192,,5464
193,,5405
194,,5421
195,,5379
196,,5404
197,,5573
198,,5511
199,,5601
200,,5432
201,,5412
202,,5445
203,,5513
204,,5511
205,,5479
206,,5537
207,,5685
208,,5555
209,,5392
210,,5301
211,,5177
212,,5119
213,,4980
214,,4838
215,,4615
216,,4456
217,,4281
218,,4133
219,,3870
220,,3721
221,,3598
222,,3392
223,,3197
224,,2928
225,,2822
226,,2646
227,,2573
228,,2431
229,,2253
230,,2193
231,,2043
232,,2031
233,,1985
234,,1891
235,,1788
236,,1858
237,,1771
238,,1680
239,,1674
240,,1599
241,,1622
242,,1519
243,,1407
244,,1370
245,,1364
246,,1339
247,,1306
248,,1297
249,,1210
250,,1132
251,,1090
252,,1102
253,,1030
254,,1049
255,,963
256,,995
257,,938
258,,939
259,,902
260,,882
261,,878
262,,896
263,,822
264,,814
265,,848
266,,841
267,,859
268,,829
269,,850
270,,831
271,,784
272,,841
273,,824
274,,820
275,,874
276,,851
277,,912
278,,999
279,,1030
280,,1165
281,,1236
282,,1329
283,,1653
284,,1872
285,,2253
286,,2682
287,,3261
288,,3752
289,,4613
290,,5526
291,,6706
292,,7752
293,,9187
294,,10875
295,,12617
296,,14652
297,,16531
298,,18485
299,,20676
300,,22658
301,,24972
302,,27057
303,,28532
304,,30468
305,,32102
306,,33377
307,,33801
308,,34522
309,,34551
310,,34448
311,,33823
312,,33167
313,,31197
314,,30083
315,,28086
316,,26052
317,,24048
318,,21972
319,,19871
320,,17505
321,,15289
322,,13432
323,,11718
324,,9966
325,,8425
326,,7138
